2019-09-11 18:43:44 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/plot-loan/ --> returned OK --> Response code-200
2019-09-11 18:43:47 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/car-finance/ --> returned OK --> Response code-200
2019-09-11 18:43:51 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/car-loan-emi-calculator/ --> returned OK --> Response code-200
2019-09-11 18:43:55 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/home-loan-scheme/ --> returned OK --> Response code-200
2019-09-11 18:43:58 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/car-loan-customer-care/ --> returned OK --> Response code-200
2019-09-11 18:44:01 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/credit-card-reward-points/ --> returned OK --> Response code-200
2019-09-11 18:44:04 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/credit-card-offers/ --> returned OK --> Response code-200
2019-09-11 18:44:07 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/mutual-funds/ --> returned OK --> Response code-200
2019-09-11 18:44:11 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/car-loan-eligibility/ --> returned OK --> Response code-200
2019-09-11 18:44:14 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/debit-card/ --> returned OK --> Response code-200
2019-09-11 18:44:16 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/personal-loan-types/ --> returned OK --> Response code-200
2019-09-11 18:44:27 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/forum/ --> returned OK --> Response code-200
2019-09-11 18:44:46 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/article/ --> returned OK --> Response code-200
2019-09-11 18:44:51 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/blog/ --> returned OK --> Response code-200
2019-09-11 18:44:52 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/testimonial/ --> returned OK --> Response code-200
2019-09-11 18:44:53 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/faq/ --> returned OK --> Response code-200
2019-09-11 18:44:55 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/#contact --> returned OK --> Response code-200
2019-09-11 18:44:56 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/#mm-6 --> returned OK --> Response code-200
2019-09-11 18:44:58 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/# --> returned OK --> Response code-200
2019-09-11 18:44:59 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/about-us/ --> returned OK --> Response code-200
2019-09-11 18:45:01 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/lender-join-us/ --> returned OK --> Response code-200
2019-09-11 18:45:02 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/career/ --> returned OK --> Response code-200
2019-09-11 18:45:03 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/# --> returned OK --> Response code-200
2019-09-11 18:45:05 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/# --> returned OK --> Response code-200
2019-09-11 18:45:06 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/ --> returned OK --> Response code-200
2019-09-11 18:45:08 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/credit-score/ --> returned OK --> Response code-200
2019-09-11 18:45:10 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/credit-card/ --> returned OK --> Response code-200
2019-09-11 18:45:12 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/loan/ --> returned OK --> Response code-200
2019-09-11 18:45:14 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/personal-loan/ --> returned OK --> Response code-200
2019-09-11 18:45:16 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/short-term-loan/ --> returned OK --> Response code-200
2019-09-11 18:45:17 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/business-loan/ --> returned OK --> Response code-200
2019-09-11 18:45:19 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/line-of-credit/ --> returned OK --> Response code-200
2019-09-11 18:45:21 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/shopping-loan/ --> returned OK --> Response code-200
2019-09-11 18:45:23 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/gold-loan/ --> returned OK --> Response code-200
2019-09-11 18:45:25 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/home-loan/ --> returned OK --> Response code-200
2019-09-11 18:45:26 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/home-loan-balance-transfer/ --> returned OK --> Response code-200
2019-09-11 18:45:28 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/loan-against-property/ --> returned OK --> Response code-200
2019-09-11 18:45:30 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/education-loan/ --> returned OK --> Response code-200
2019-09-11 18:45:32 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/auto-loan/ --> returned OK --> Response code-200
2019-09-11 18:45:34 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/two-wheeler-loan/ --> returned OK --> Response code-200
2019-09-11 18:45:36 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/car-loan/ --> returned OK --> Response code-200
2019-09-11 18:45:37 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/community/ --> returned OK --> Response code-200
2019-09-11 18:45:55 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/article/ --> returned OK --> Response code-200
2019-09-11 18:46:00 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/blog/ --> returned OK --> Response code-200
2019-09-11 18:46:02 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/faq/ --> returned OK --> Response code-200
2019-09-11 18:46:13 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/forum/ --> returned OK --> Response code-200
2019-09-11 18:46:14 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/resource/ --> returned OK --> Response code-200
2019-09-11 18:46:16 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/calculators/ --> returned OK --> Response code-200
2019-09-11 18:46:18 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/testimonial/ --> returned OK --> Response code-200
2019-09-11 18:46:19 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/business-loan-campaign/ --> returned OK --> Response code-200
2019-09-11 18:46:21 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/#hamburger-menu --> returned OK --> Response code-200
2019-09-11 18:46:22 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/getstarted/?act=show_login&utm_source=home --> returned OK --> Response code-200
2019-09-11 18:46:24 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/getstarted/?act=register&utm_source=home --> returned OK --> Response code-200
2019-09-11 18:46:26 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/getstarted/?act=show_login&utm_term=needHelp --> returned OK --> Response code-200
2019-09-11 18:46:28 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/credit-products/ --> returned OK --> Response code-200
